{'game_count': 1, 'round_start_time': '2021-04-29 21:09:28.496242', 'round_count': 1, 'winner': 'Human', 'robot_move': 'Scissor', 'human_move': 'Rock', 'move_delay': 0.19145631790161133, 'robot_rhythm': 90.0, 'human_rhythm': 85.0, 'round_validity': 'Valid'}
{'game_count': 5, 'round_start_time': '2021-04-29 21:17:07.150271', 'round_count': 1, 'winner': 'Human', 'robot_move': 'Paper', 'human_move': 'Scissor', 'move_delay': -13.299973726272583, 'robot_rhythm': 60.0, 'human_rhythm': 68.0, 'round_validity': 'Invalid'}
{'game_count': 5, 'round_start_time': '2021-04-29 21:17:19.431612', 'round_count': 2, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -1.1516389846801758, 'robot_rhythm': 60.0, 'human_rhythm': 74.0, 'round_validity': 'Invalid'}
{'game_count': 5, 'round_start_time': '2021-04-29 21:17:31.215858', 'round_count': 3, 'winner': 'Robot', 'robot_move': 'Paper', 'human_move': 'Rock', 'move_delay': -0.2497568130493164, 'robot_rhythm': 60.0, 'human_rhythm': 69.0, 'round_validity': 'Valid'}
{'game_count': 5, 'round_start_time': '2021-04-29 21:17:43.093017', 'round_count': 4, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -1619745461.034, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 5, 'round_start_time': '2021-04-29 21:17:54.527528', 'round_count': 5, 'winner': 'Human', 'robot_move': 'Paper', 'human_move': 'Scissor', 'move_delay': -0.1682298183441162, 'robot_rhythm': 60.0, 'human_rhythm': 74.0, 'round_validity': 'Invalid'}
{'game_count': 6, 'round_start_time': '2021-04-29 21:18:31.583834', 'round_count': 1, 'winner': 'Human', 'robot_move': 'Paper', 'human_move': 'Scissor', 'move_delay': -0.10921883583068848, 'robot_rhythm': 90.0, 'human_rhythm': 96.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-29 21:18:43.366781', 'round_count': 2, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -0.009337902069091797, 'robot_rhythm': 90.0, 'human_rhythm': 87.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-29 21:18:51.872816', 'round_count': 3, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': 0.018578290939331055, 'robot_rhythm': 90.0, 'human_rhythm': 91.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-29 21:19:00.711425', 'round_count': 4, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': -0.10678791999816895, 'robot_rhythm': 90.0, 'human_rhythm': 93.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-29 21:19:09.621070', 'round_count': 5, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -0.03552079200744629, 'robot_rhythm': 90.0, 'human_rhythm': 93.0, 'round_validity': 'Valid'}
{'game_count': 7, 'round_start_time': '2021-04-29 21:19:42.286906', 'round_count': 1, 'winner': 'Robot', 'robot_move': 'Scissor', 'human_move': 'Paper', 'move_delay': 0.04616189002990723, 'robot_rhythm': 120.0, 'human_rhythm': 98.0, 'round_validity': 'Invalid'}
{'game_count': 7, 'round_start_time': '2021-04-29 21:19:52.172610', 'round_count': 2, 'winner': 'Draw', 'robot_move': 'Rock', 'human_move': 'Rock', 'move_delay': -0.05373787879943848, 'robot_rhythm': 120.0, 'human_rhythm': 119.0, 'round_validity': 'Valid'}
{'game_count': 7, 'round_start_time': '2021-04-29 21:20:00.227116', 'round_count': 3, 'winner': 'Robot', 'robot_move': 'Scissor', 'human_move': 'Paper', 'move_delay': -0.05365395545959473, 'robot_rhythm': 120.0, 'human_rhythm': 114.0, 'round_validity': 'Valid'}
{'game_count': 7, 'round_start_time': '2021-04-29 21:20:11.984631', 'round_count': 4, 'winner': 'Human', 'robot_move': 'Paper', 'human_move': 'Scissor', 'move_delay': -0.07815980911254883, 'robot_rhythm': 120.0, 'human_rhythm': 125.0, 'round_validity': 'Valid'}
{'game_count': 7, 'round_start_time': '2021-04-29 21:20:20.990410', 'round_count': 5, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': -0.08840179443359375, 'robot_rhythm': 120.0, 'human_rhythm': 125.0, 'round_validity': 'Valid'}
{'game_count': 8, 'round_start_time': '2021-04-29 21:20:59.799392', 'round_count': 1, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -1619745657.764, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 8, 'round_start_time': '2021-04-29 21:21:12.195003', 'round_count': 2, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -0.29554176330566406, 'robot_rhythm': 60.0, 'human_rhythm': 73.0, 'round_validity': 'Invalid'}
{'game_count': 8, 'round_start_time': '2021-04-29 21:21:23.310984', 'round_count': 3, 'winner': 'Robot', 'robot_move': 'Rock', 'human_move': 'Scissor', 'move_delay': -1619745681.304, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 8, 'round_start_time': '2021-04-29 21:21:35.444476', 'round_count': 4, 'winner': 'Robot', 'robot_move': 'Paper', 'human_move': 'Rock', 'move_delay': -1619745693.3639998, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 8, 'round_start_time': '2021-04-29 21:21:46.706691', 'round_count': 5, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': -0.22518610954284668, 'robot_rhythm': 60.0, 'human_rhythm': 66.0, 'round_validity': 'Valid'}
{'game_count': 9, 'round_start_time': '2021-04-29 21:22:13.994486', 'round_count': 1, 'winner': 'Robot', 'robot_move': 'Paper', 'human_move': 'Rock', 'move_delay': -1619745731.984, 'robot_rhythm': 90.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 9, 'round_start_time': '2021-04-29 21:22:25.717568', 'round_count': 2, 'winner': 'Robot', 'robot_move': 'Paper', 'human_move': 'Rock', 'move_delay': -0.06777167320251465, 'robot_rhythm': 90.0, 'human_rhythm': 97.0, 'round_validity': 'Valid'}
{'game_count': 9, 'round_start_time': '2021-04-29 21:22:38.150832', 'round_count': 3, 'winner': 'Robot', 'robot_move': 'Paper', 'human_move': 'Rock', 'move_delay': -0.13367462158203125, 'robot_rhythm': 90.0, 'human_rhythm': 94.0, 'round_validity': 'Valid'}
{'game_count': 9, 'round_start_time': '2021-04-29 21:22:46.814441', 'round_count': 4, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': 0.029926061630249023, 'robot_rhythm': 90.0, 'human_rhythm': 95.0, 'round_validity': 'Valid'}
{'game_count': 9, 'round_start_time': '2021-04-29 21:22:55.197419', 'round_count': 5, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -0.07973885536193848, 'robot_rhythm': 90.0, 'human_rhythm': 91.0, 'round_validity': 'Valid'}
{'game_count': 10, 'round_start_time': '2021-04-29 21:24:07.710518', 'round_count': 1, 'winner': 'Draw', 'robot_move': 'Rock', 'human_move': 'Rock', 'move_delay': -0.44187378883361816, 'robot_rhythm': 120.0, 'human_rhythm': 88.0, 'round_validity': 'Invalid'}
{'game_count': 10, 'round_start_time': '2021-04-29 21:24:17.439259', 'round_count': 2, 'winner': 'Human', 'robot_move': 'Scissor', 'human_move': 'Rock', 'move_delay': -0.036606788635253906, 'robot_rhythm': 120.0, 'human_rhythm': 120.0, 'round_validity': 'Valid'}
{'game_count': 10, 'round_start_time': '2021-04-29 21:24:25.428904', 'round_count': 3, 'winner': 'Human', 'robot_move': 'Scissor', 'human_move': 'Rock', 'move_delay': -0.06221485137939453, 'robot_rhythm': 120.0, 'human_rhythm': 124.0, 'round_validity': 'Valid'}
{'game_count': 10, 'round_start_time': '2021-04-29 21:24:33.821613', 'round_count': 4, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -0.07952594757080078, 'robot_rhythm': 120.0, 'human_rhythm': 128.0, 'round_validity': 'Valid'}
{'game_count': 10, 'round_start_time': '2021-04-29 21:24:45.909340', 'round_count': 5, 'winner': 'Robot', 'robot_move': 'Scissor', 'human_move': 'Paper', 'move_delay': -0.08199071884155273, 'robot_rhythm': 120.0, 'human_rhythm': 119.0, 'round_validity': 'Valid'}
{'game_count': 11, 'round_start_time': '2021-04-29 21:25:16.832024', 'round_count': 1, 'winner': 'Robot', 'robot_move': 'Scissor', 'human_move': 'Paper', 'move_delay': -0.2567720413208008, 'robot_rhythm': 60.0, 'human_rhythm': 69.0, 'round_validity': 'Valid'}
{'game_count': 11, 'round_start_time': '2021-04-29 21:25:29.151928', 'round_count': 2, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -1619745927.1639998, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 11, 'round_start_time': '2021-04-29 21:25:40.694756', 'round_count': 3, 'winner': 'Robot', 'robot_move': 'Rock', 'human_move': 'Scissor', 'move_delay': -1619745938.6139998, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 11, 'round_start_time': '2021-04-29 21:25:53.485202', 'round_count': 4, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -1619745951.3939998, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 11, 'round_start_time': '2021-04-29 21:26:05.879884', 'round_count': 5, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -1619745963.774, 'robot_rhythm': 60.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 12, 'round_start_time': '2021-04-29 21:26:29.581122', 'round_count': 1, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -1619745987.5939999, 'robot_rhythm': 90.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
{'game_count': 12, 'round_start_time': '2021-04-29 21:26:40.905544', 'round_count': 2, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -0.028069734573364258, 'robot_rhythm': 90.0, 'human_rhythm': 97.0, 'round_validity': 'Valid'}
{'game_count': 12, 'round_start_time': '2021-04-29 21:26:52.785110', 'round_count': 3, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -0.05094194412231445, 'robot_rhythm': 90.0, 'human_rhythm': 90.0, 'round_validity': 'Valid'}
{'game_count': 12, 'round_start_time': '2021-04-29 21:27:02.292138', 'round_count': 4, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': -0.09360384941101074, 'robot_rhythm': 90.0, 'human_rhythm': 93.0, 'round_validity': 'Valid'}
{'game_count': 12, 'round_start_time': '2021-04-29 21:27:10.660261', 'round_count': 5, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -1619746028.6539998, 'robot_rhythm': 90.0, 'human_rhythm': 0, 'round_validity': 'Invalid'}
