{'game_count': 1, 'round_start_time': '2021-04-30 16:15:46.015248', 'round_count': 1, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': -0.19825077056884766, 'robot_rhythm': 90.0, 'human_rhythm': 63.0, 'round_validity': 'Invalid'}
{'game_count': 5, 'round_start_time': '2021-04-30 16:22:00.988679', 'round_count': 1, 'winner': 'Draw', 'robot_move': 'Rock', 'human_move': 'Rock', 'move_delay': -0.40012383460998535, 'robot_rhythm': 60.0, 'human_rhythm': 65.0, 'round_validity': 'Valid'}
{'game_count': 5, 'round_start_time': '2021-04-30 16:22:12.158474', 'round_count': 2, 'winner': 'Human', 'robot_move': 'Paper', 'human_move': 'Scissor', 'move_delay': -0.36441802978515625, 'robot_rhythm': 60.0, 'human_rhythm': 62.0, 'round_validity': 'Valid'}
{'game_count': 5, 'round_start_time': '2021-04-30 16:22:22.389157', 'round_count': 3, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -0.39713096618652344, 'robot_rhythm': 60.0, 'human_rhythm': 62.0, 'round_validity': 'Valid'}
{'game_count': 5, 'round_start_time': '2021-04-30 16:22:32.670889', 'round_count': 4, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -0.4045867919921875, 'robot_rhythm': 60.0, 'human_rhythm': 64.0, 'round_validity': 'Valid'}
{'game_count': 5, 'round_start_time': '2021-04-30 16:22:45.024119', 'round_count': 5, 'winner': 'Human', 'robot_move': 'Scissor', 'human_move': 'Rock', 'move_delay': -0.325192928314209, 'robot_rhythm': 60.0, 'human_rhythm': 61.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-30 16:23:21.499467', 'round_count': 1, 'winner': 'Human', 'robot_move': 'Scissor', 'human_move': 'Rock', 'move_delay': -0.1701359748840332, 'robot_rhythm': 90.0, 'human_rhythm': 93.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-30 16:23:30.892128', 'round_count': 2, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -0.2707371711730957, 'robot_rhythm': 90.0, 'human_rhythm': 92.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-30 16:23:39.385568', 'round_count': 3, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': -0.18160271644592285, 'robot_rhythm': 90.0, 'human_rhythm': 88.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-30 16:23:48.908823', 'round_count': 4, 'winner': 'Draw', 'robot_move': 'Rock', 'human_move': 'Rock', 'move_delay': -0.17200303077697754, 'robot_rhythm': 90.0, 'human_rhythm': 87.0, 'round_validity': 'Valid'}
{'game_count': 6, 'round_start_time': '2021-04-30 16:23:58.342864', 'round_count': 5, 'winner': 'Robot', 'robot_move': 'Scissor', 'human_move': 'Paper', 'move_delay': -0.19317889213562012, 'robot_rhythm': 90.0, 'human_rhythm': 84.0, 'round_validity': 'Valid'}
{'game_count': 7, 'round_start_time': '2021-04-30 16:24:40.631778', 'round_count': 1, 'winner': 'Draw', 'robot_move': 'Rock', 'human_move': 'Rock', 'move_delay': -0.07439780235290527, 'robot_rhythm': 120.0, 'human_rhythm': 117.0, 'round_validity': 'Valid'}
{'game_count': 7, 'round_start_time': '2021-04-30 16:24:49.545296', 'round_count': 2, 'winner': 'Robot', 'robot_move': 'Rock', 'human_move': 'Scissor', 'move_delay': -0.12422990798950195, 'robot_rhythm': 120.0, 'human_rhythm': 108.0, 'round_validity': 'Invalid'}
{'game_count': 7, 'round_start_time': '2021-04-30 16:24:59.509222', 'round_count': 3, 'winner': 'Human', 'robot_move': 'Rock', 'human_move': 'Paper', 'move_delay': -0.061959028244018555, 'robot_rhythm': 120.0, 'human_rhythm': 107.0, 'round_validity': 'Invalid'}
{'game_count': 7, 'round_start_time': '2021-04-30 16:25:09.283285', 'round_count': 4, 'winner': 'Draw', 'robot_move': 'Scissor', 'human_move': 'Scissor', 'move_delay': -0.1270589828491211, 'robot_rhythm': 120.0, 'human_rhythm': 114.0, 'round_validity': 'Valid'}
{'game_count': 7, 'round_start_time': '2021-04-30 16:25:19.547972', 'round_count': 5, 'winner': 'Draw', 'robot_move': 'Rock', 'human_move': 'Rock', 'move_delay': -0.11352014541625977, 'robot_rhythm': 120.0, 'human_rhythm': 106.0, 'round_validity': 'Invalid'}
{'game_count': 8, 'round_start_time': '2021-04-30 16:26:10.439336', 'round_count': 1, 'winner': 'Human', 'robot_move': 'Scissor', 'human_move': 'Rock', 'move_delay': -0.3388500213623047, 'robot_rhythm': 60.0, 'human_rhythm': 63.0, 'round_validity': 'Valid'}
{'game_count': 8, 'round_start_time': '2021-04-30 16:26:20.574676', 'round_count': 2, 'winner': 'Robot', 'robot_move': 'Rock', 'human_move': 'Scissor', 'move_delay': -0.31627583503723145, 'robot_rhythm': 60.0, 'human_rhythm': 62.0, 'round_validity': 'Valid'}
{'game_count': 8, 'round_start_time': '2021-04-30 16:26:31.227954', 'round_count': 3, 'winner': 'Draw', 'robot_move': 'Paper', 'human_move': 'Paper', 'move_delay': -0.32135605812072754, 'robot_rhythm': 60.0, 'human_rhythm': 59.0, 'round_validity': 'Valid'}
